Name,Domain,Event1,Event2
Bryan Brock,Management,Jobs,Hackathons
Joseph Sullivan,Coding,Certifications,Webinars
Sherri Dawson,Security,Internships,Fests
Dustin Ferguson,Hardware,Competitions,Webinars
Kayla Young,Web Development,Expos,Certifications
Angela Stokes,Higher Education,Workshops,Seminars
Curtis Ortega,IoT,Certifications,Courses
Andrew Cox,Coding,Jobs,Certifications
Russell Vargas,Java,Trainings,Expos
David Foster,Security,Certifications,Courses
Pamela Burton,Web Development,Internships,Fests
Joshua Miller,Management,Jobs,Certifications
Deborah Young,Artificial Intelligence,Expos,Webinars
Ann Morris,Management,Seminars,Expos
David Cox,Python,Hackathons,Jobs
Chelsea Smith,Python,Workshops,Seminars
Corey Beck,Artificial Intelligence,Competitions,Trainings
Lisa Roberts,Finance,Fests,Certifications
Christine Potter,Mobile Applications,Certifications,Courses
Valerie Yang,Higher Education,Internships,Seminars
Brian Powell,C++,Fests,Internships
David Davis,Software Architecture,Seminars,Competitions
Jacqueline Houston,Web Development,Trainings,Seminars
Andrew Rodriguez,Python,Seminars,Internships
Kayla Williams,IoT,Expos,Internships
Erika Ross,Mobile Applications,Competitions,Expos
Jessica Silva,Finance,Workshops,Seminars
Kristine Clark,Higher Education,Competitions,Fests
Daniel Barnett,Java,Seminars,Certifications
Andrew Terry,Other,Seminars,Jobs
Bryan Martin,Other,Trainings,Competitions
Donna Hansen,Management,Trainings,Expos
Kevin Robbins,Security,Talks,Trainings
Kenneth Martinez,Other,Webinars,Certifications
Melinda West,C,Expos,Internships
James Burns,Java,Expos,Fests
Julian Sanders,Cloud Computing,Hackathons,Courses
Brandon Carlson,Other,Talks,Jobs
Melissa Brown,Python,Courses,Expos
Alexander Barr,C++,Talks,Seminars
Beverly Mcguire,Security,Competitions,Internships
Ernest Pierce,Security,Certifications,Talks
Javier Leblanc,C,Hackathons,Courses
Cassandra Meza,Networking,Competitions,Certifications
Colin Davis,JavaScript,Jobs,Seminars
Brittney Copeland,IoT,Internships,Courses
Philip Woods,Hardware,Workshops,Jobs
Michelle Miller,Artificial Intelligence,Workshops,Courses
Diana Thomas,Mobile Applications,Talks,Expos
Angela Hall,Machine Learning,Fests,Hackathons
Christopher Jones,Blockchain,Fests,Hackathons
Gary Sanchez,JavaScript,Internships,Seminars
Christian Odom,Machine Learning,Webinars,Fests
Jennifer Smith,Higher Education,Competitions,Talks
Andrea Thompson,Finance,Trainings,Jobs
Anthony Williams,Networking,Talks,Expos
Kathryn Odom,Cloud Computing,Talks,Jobs
Daniel Orozco,Java,Courses,Talks
Cameron Pena,JavaScript,Expos,Competitions
Christopher Hernandez,C,Talks,Seminars
Edward Hampton,Java,Trainings,Seminars
James Raymond,Java,Expos,Trainings
William Rosales,Finance,Seminars,Fests
Michele Campbell,JavaScript,Competitions,Courses
Jessica Boyd,Python,Talks,Certifications
Michael Alvarado,Python,Webinars,Courses
Jonathan Fowler,IoT,Webinars,Hackathons
Laura Hurst,Coding,Jobs,Hackathons
Valerie Snow,Networking,Competitions,Certifications
Bernard Friedman,Finance,Competitions,Internships
Joshua Calhoun,Cloud Computing,Workshops,Internships
Karen Baker,Coding,Internships,Fests
Brian Patterson,Software Architecture,Internships,Fests
Valerie Peterson,IoT,Hackathons,Fests
Michael Baird,Blockchain,Internships,Workshops
Kelli Hodges,Java,Certifications,Webinars
Brian Hamilton,Blockchain,Certifications,Competitions
Glenn Martinez,Development Processes,Certifications,Talks
Allison Robinson,C,Fests,Expos
Virginia Lucas,Software Architecture,Certifications,Hackathons
Carol Larson,Python,Webinars,Competitions
Justin Copeland,Web Development,Internships,Competitions
Anna Young,Security,Jobs,Internships
Peter Wood,Cloud Computing,Courses,Webinars
John Pearson,C++,Courses,Webinars
Antonio Nelson,Cloud Computing,Expos,Internships
Adam Richards,Data Science,Hackathons,Jobs
Matthew Martinez,Machine Learning,Internships,Hackathons
Tracy Alexander,JavaScript,Trainings,Competitions
Janice Leonard,Web Development,Workshops,Competitions
Dennis Ramirez,IoT,Courses,Internships
Mrs. Alexa Henson MD,Blockchain,Workshops,Courses
Tracy Wilson,Cloud Computing,Trainings,Jobs
Beverly Hayes,C,Seminars,Competitions
Kristy Levine,Python,Jobs,Workshops
Tracy Mejia,Mobile Applications,Competitions,Courses
Corey Moran,Coding,Seminars,Webinars
Edwin Bowman,Management,Courses,Jobs
Michael West,Web Development,Trainings,Courses
William Sandoval,Networking,Fests,Internships
Mrs. Marissa Dixon,Security,Seminars,Workshops
Teresa Riley,C,Hackathons,Expos
Daniel Lopez,Management,Hackathons,Jobs
Thomas Thompson,Python,Fests,Workshops
Jessica Lee,Software Architecture,Workshops,Internships
Wyatt Cruz,Networking,Certifications,Jobs
Tanya Armstrong,Hardware,Competitions,Webinars
Michael Parrish,C++,Jobs,Seminars
Samantha Mcdowell,Cloud Computing,Workshops,Internships
Jennifer Merritt,Other,Expos,Courses
James Porter,Blockchain,Seminars,Jobs
Aaron Black,Security,Workshops,Jobs
Mr. Charles Saunders DDS,Networking,Webinars,Internships
Bryan Mann,Coding,Competitions,Expos
Jasmine Brown,Machine Learning,Expos,Internships
William Anderson,Higher Education,Trainings,Workshops
Mary Lewis,Coding,Webinars,Talks
Samuel Johnston,Finance,Hackathons,Competitions
Laura Wood,C++,Workshops,Hackathons
Robert Burton,Management,Fests,Trainings
Rebecca Kelley,Hardware,Internships,Trainings
Sherry Jensen,Development Processes,Fests,Hackathons
John Phillips,Cloud Computing,Workshops,Seminars
Heather Frazier,Other,Jobs,Competitions
Christopher Myers,Java,Competitions,Internships
Sharon Mitchell,Machine Learning,Internships,Competitions
Sharon Buckley,IoT,Trainings,Expos
Mark Rogers,Python,Hackathons,Workshops
Lisa Thomas,IoT,Trainings,Expos
Katherine Gonzalez,Development Processes,Webinars,Courses
Jose Allen,Higher Education,Expos,Fests
Brandi Perez,IoT,Expos,Talks
Kenneth Jackson,Coding,Expos,Competitions
Courtney Evans,Blockchain,Hackathons,Workshops
Robert Ramirez,Other,Expos,Courses
Kenneth Diaz,Networking,Jobs,Talks
Matthew Graham,Management,Expos,Talks
Marissa Dawson,Security,Talks,Internships
Susan Bailey,Mobile Applications,Internships,Talks
Michael Smith,Data Science,Talks,Jobs
Alyssa Davis,Cloud Computing,Seminars,Talks
Julia Park,Blockchain,Trainings,Courses
Stacy Jones,Machine Learning,Internships,Fests
John Jackson,Blockchain,Expos,Certifications
Dana Bryant,Development Processes,Jobs,Expos
Gail Duran,C++,Internships,Jobs
Micheal Brown,Web Development,Expos,Certifications
Kristina Rowland,Cloud Computing,Fests,Competitions
Derek Schmidt,Management,Jobs,Hackathons
Benjamin Hall,Security,Competitions,Jobs
Gina Diaz,C,Competitions,Workshops
